id,lineage,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sauber,Sauber,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan,Sauber:cyan
renault,Renault/Lotus,Renault:yellow,Renault:yellow,Renault:yellow,Renault:yellow,Renault:yellow,Renault:yellow,Renault:yellow,Renault:yellow,Lotus:gold,Lotus:gold,Lotus:gold,Lotus:gold,Renault:yellow,Renault:yellow,Renault:yellow,Renault:yellow
honda-merc,Honda/Mercedes,Honda:gray,Honda:gray,Honda:gray,Honda:gray,Honda:gray,Brawn:green,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray,Mercedes:gray
jag-redbull,Jaguar/Red Bull,Jaguar:green,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy,Red Bull:navy
minardi-torro,Minardi/Torro Rosso,Minardi:green,Minardi:green,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy,Torro Rosso:navy
jordan-forceindia,Jordan/Force India,Jordan:yellow,Jordan:yellow,Midland/Spyker:black,Midland/Spyker:black,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Force India:orange,Racing Point:orange,Racing Point:orange
toyota,Toyota/Hispania,Toyota:maroon,Toyota:maroon,Toyota:maroon,Toyota:maroon,Toyota:maroon,Toyota:maroon,Hispania:pink,Hispania:pink,Hispania:pink,,,,,,,
superaguri,Super Aguri,,,Super Aguri:maroon,Super Aguri:maroon,Super Aguri:maroon,,,,,,,,,,,
marussia-manor,Virgin/Marussia/Manor Racing,,,,,,,Virgin:red,Marussia:red,Marussia:red,Marussia:red,Marussia:red,Manor Racing:blue,Manor Racing:blue,,,
caterham,Team Lotus/Caterham,,,,,,,Team Lotus:green,Team Lotus:green,Caterham:green,Caterham:green,Caterham:green,,,,,
haas,Haas,,,,,,,,,,,,,Haas:gray,Haas:gray,Haas:gray,Haas:gray
