id,name,lineage,color,action,notes,url
ferrari,Ferrari,,#DC0000,,Oldest team,https://en.wikipedia.org/wiki/Scuderia_Ferrari
mclaren,McLaren,,#FF8700,,"Second oldest, after Ferrari",https://en.wikipedia.org/wiki/McLaren
williams,Williams,,#227093,,,https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
sauber,Sauber,Sauber,#006EFF,Renamed,,https://en.wikipedia.org/wiki/Sauber_Motorsport
alpharomeo,Alpha Romeo,Sauber,#9B0000,Renamed,Renamed from Sauber,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
bmwsauber,BMW Sauber,Sauber,#0000ff,Renamed,Renamed from Sauber,https://en.wikipedia.org/wiki/BMW_in_Formula_One
tyrrell,Tyrrell,Tyrell/BAR/Honda/Mercedes,#2d5da0,,Formed in 1958,https://en.wikipedia.org/wiki/Tyrrell_Racing
bar,BAR,Tyrell/BAR/Honda/Mercedes,#7b0802,Sold to,Buyout of Tyrrell,https://en.wikipedia.org/wiki/British_American_Racing
honda,Honda,Tyrell/BAR/Honda/Mercedes,#84817a,Sold to,Buyout of BAR,https://en.wikipedia.org/wiki/Honda_in_Formula_One
brawn,Brawn,Tyrell/BAR/Honda/Mercedes,#33d9b2,Sold to,Buyout of Honda,https://en.wikipedia.org/wiki/Brawn_GP
mercedes,Mercedes,Tyrell/BAR/Honda/Mercedes,#00D2BE,,"Formed in 1954, withdraw in 1955, then returned in 2010 after buyout of Brawn.",https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
benetton,Benetton,Renault/Lotus/Benetton,#12cff3,,"In 2000, the team was purchased by Renault, but competed as Benetton for the 2000 and 2001 seasons. In 2002, the team became Renault F1.",https://en.wikipedia.org/wiki/Benetton_Formula
renault,Renault,Renault/Lotus/Benetton,#FFD800,Sold to,Buyout of Benetton,https://en.wikipedia.org/wiki/Renault_in_Formula_One
lotusf1,Lotus F1,Renault/Lotus/Benetton,#FFB800,Renamed,Temporary rename of Renault.,https://en.wikipedia.org/wiki/Lotus_F1
jordan,Jordan,Racing Point-Force India-Jordan,#807a0e,,Started by Eddie Jordan in 1991,https://en.wikipedia.org/wiki/Jordan_Grand_Prix
midland,Midland,Racing Point-Force India-Jordan,#004400,Sold to,Buyout of Jordan,https://en.wikipedia.org/wiki/Midland_F1_Racing
spyker,Spyker,Racing Point-Force India-Jordan,#ff0000,Sold to,Buyout of Midland,https://en.wikipedia.org/wiki/Spyker_F1
forceindia,Force India,Racing Point-Force India-Jordan,#d35400,Sold to,Buyout of Spyker,https://en.wikipedia.org/wiki/Force_India
