id,name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ADA,Philippe Adams,,,,,,,,teamlotus,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Alexander Albon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso
ALB,Christijan Albers,,,,,,,,,,,,,,,,,,,minardi,midland,spyker,,,,,,,,,,,,
ALB,Michele Alboreto,ferrari,ferrari,tyrrell+lola,arrows,footwork,footwork,lolabms,minardi,,,,,,,,,,,,,,,,,,,,,,,,,
ALE,Jean Alesi,,,tyrrell,tyrrell,ferrari,ferrari,ferrari,ferrari,ferrari,benetton,benetton,sauber,sauber,prost,prost+jordan,,,,,,,,,,,,,,,,,,
ALG,Jaime Alguersuari,,,,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso,torrorosso,,,,,,,,
ALL,Philippe Alliot,lola,lola,lola,ligier,,,larrousse,mclaren+larrousse,,,,,,,,,,,,,,,,,,,,,,,,,
ALO,Fernando Alonso,,,,,,,,,,,,,,,minardi,,renault,renault,renault,renault,mclaren,renault,renault,ferrari,ferrari,ferrari,ferrari,ferrari,mclaren,mclaren,mclaren,mclaren,
AMA,Giovanna Amati,,,,,,brabham,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAM,Jérôme d'Ambrosio,,,,,,,,,,,,,,,,,,,,,,,,,marussia,lotusf1,,,,,,,
AND,Michael Andretti,,,,,,,mclaren,,,,,,,,,,,,,,,,,,,,,,,,,,
API,Marco Apicella,,,,,,,jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
BAD,Luca Badoer,,,,,,,lolabms,,minardi,forti,,,,,,,,,,,,,ferrari,,,,,,,,,,
BAI,Julian Bailey,,tyrrell,,,teamlotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,Fabrizio Barbazza,,,,,ags,,minardi,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,Michael Bartels,,,,,teamlotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,Paolo Barilla,,,minardi,minardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,Rubens Barrichello,,,,,,,jordan,jordan,jordan,jordan,stewart,stewart,stewart,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,honda,honda,honda,brawn,williams,williams,,,,,,,,
BAU,Zsolt Baumgartner,,,,,,,,,,,,,,,,,jordan,minardi,,,,,,,,,,,,,,,
BDO,Luca Badoer,,,,,,,,,,,,,minardi,,,,,,,,,,,,,,,,,,,,
BEL,Paul Belmondo,,,,,,march,,pacific,,,,,,,,,,,,,,,,,,,,,,,,,
BER,Enrico Bertaggia,,,coloni,,,andreamoda,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER,Enrique Bernoldi,,,,,,,,,,,,,,,arrows,arrows,,,,,,,,,,,,,,,,,
BER,Éric Bernard,,,lola,lola,lola,,,teamlotus+ligier,,,,,,,,,,,,,,,,,,,,,,,,,
BER,Gerhard Berger,ferrari,ferrari,ferrari,mclaren,mclaren,mclaren,ferrari,ferrari,ferrari,benetton,benetton,,,,,,,,,,,,,,,,,,,,,,
BER,Olivier Beretta,,,,,,,,larrousse,,,,,,,,,,,,,,,,,,,,,,,,,
BIA,Jules Bianchi,,,,,,,,,,,,,,,,,,,,,,,,,,,marussia,marussia,,,,,
BLU,Mark Blundell,,,,,brabham,,ligier,tyrrell,mclaren,,,,,,,,,,,,,,,,,,,,,,,,
BOT,Valtteri Bottas,,,,,,,,,,,,,,,,,,,,,,,,,,,williams,williams,williams,williams,mercedes,mercedes,mercedes
BOU,Christophe Bouchut,,,,,,,,,larrousse,,,,,,,,,,,,,,,,,,,,,,,,
