constructor,year,car1,car2,car3,car4,car5,car6,car7,car8
ferrari,2020,VET,LEC,,,,,,
ferrari,2019,VET,LEC,,,,,,
ferrari,2018,VET,RAI,,,,,,
ferrari,2017,VET,RAI,,,,,,
ferrari,2016,VET,RAI,,,,,,
ferrari,2015,VET,RAI,,,,,,
ferrari,2014,ALO,RAI,,,,,,
ferrari,2013,MAS,ALO,,,,,,
ferrari,2012,MAS,ALO,,,,,,
ferrari,2011,MAS,ALO,,,,,,
ferrari,2010,MAS,ALO,,,,,,
ferrari,2009,MAS,RAI,BAD,FIS,,,,
ferrari,2008,MAS,RAI,,,,,,
ferrari,2007,MAS,RAI,,,,,,
ferrari,2006,MSC,MAS,,,,,,
ferrari,2005,MSC,BAR,,,,,,
ferrari,2004,MSC,BAR,,,,,,
ferrari,2003,MSC,BAR,,,,,,
ferrari,2002,MSC,BAR,,,,,,
ferrari,2001,MSC,BAR,,,,,,
ferrari,2000,MSC,BAR,,,,,,
ferrari,1999,MSC,IRV,SAL,,,,,
ferrari,1998,MSC,IRV,,,,,,
ferrari,1997,MSC,IRV,,,,,,
ferrari,1996,MSC,IRV,,,,,,
ferrari,1995,ALE,BER,,,,,,
ferrari,1994,ALE,BER,LAR,,,,,
ferrari,1993,ALE,BER,,,,,,
ferrari,1992,ALE,CAP,LAR,,,,,
ferrari,1991,PRO,ALE,MOR,,,,,
ferrari,1990,PRO,MAN,,,,,,
ferrari,1983,TAM,ARN,,,,,,
ferrari,1982,VIL,PIR,TAM,AND,,,,
mclaren,2019,NOR,SAI,,,,,,
mclaren,2018,ALO,VAN,,,,,,
mclaren,2017,ALO,BUT,VAN,,,,,
mclaren,2016,ALO,BUT,VAN,,,,,
mclaren,2015,ALO,BUT,,,,,,
mclaren,2014,BUT,MAG,,,,,,
mclaren,2013,BUT,PER,,,,,,
mclaren,2012,HAM,BUT,,,,,,
mclaren,2011,HAM,BUT,,,,,,
mclaren,2010,HAM,BUT,,,,,,
mclaren,2009,HAM,KOV,,,,,,
mclaren,2008,HAM,KOV,,,,,,
mclaren,2007,HAM,ALO,,,,,,
mclaren,2006,RAI,MOY,DLR,,,,,
mclaren,2005,RAI,MOY,DLR,WUR,,,,
